SCHOOL_KEY,NETWORK,GOVERNANCE,ANNUAL_REGIONAL_ANALYSIS_REGION,COMMUNITY,REGION_ENCODED
1517,Network 9,District,Bronzeville / South Lakefront,GREATER GRAND CROSSING,6
1521,Network 12,District,Greater Stony Island,CHATHAM,7
1522,Network 2,District,North Lakefront,UPTOWN,3
1523,Network 5,District,West Side,EAST GARFIELD PARK,2
1525,Network 5,District,West Side,NORTH LAWNDALE,2
1526,Network 9,District,Bronzeville / South Lakefront,GRAND BOULEVARD,6
1528,Network 12,District,Greater Stony Island,GREATER GRAND CROSSING,7
1530,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1531,Network 3,District,West Side,AUSTIN,2
1533,Network 2,District,North Lakefront,ROGERS PARK,3
1536,Network 10,District,South Side,ASHBURN,1
1537,Network 11,District,South Side,ENGLEWOOD,1
1538,ISP,District,Greater Midway,WEST LAWN,9
1540,Network 5,District,West Side,WEST GARFIELD PARK,2
1541,Network 13,District,Greater Calumet,WEST PULLMAN,8
1544,Network 11,District,South Side,CHATHAM,1
1545,Network 11,District,South Side,ENGLEWOOD,1
1546,Network 11,District,South Side,CHATHAM,1
1550,Network 15,District,Near West Side,NEAR WEST SIDE,12
1551,Network 3,District,West Side,AUSTIN,2
1554,Network 6,District,Near West Side,NEAR WEST SIDE,12
1558,ISP,District,Greater Stony Island,CALUMET HEIGHTS,7
1559,Network 5,District,Greater Milwaukee Avenue,WEST TOWN,13
1561,Network 13,District,Greater Calumet,WEST PULLMAN,8
1562,Network 12,District,Greater Stony Island,CALUMET HEIGHTS,7
1563,Network 8,District,Greater Stockyards,BRIGHTON PARK,10
1565,Network 8,District,Greater Stockyards,MCKINLEY PARK,10
1569,Network 17,District,Greater Stony Island,SOUTH CHICAGO,7
1571,Network 4,District,Greater Milwaukee Avenue,AVONDALE,13
1572,Network 7,District,Pilsen / Little Village,LOWER WEST SIDE,11
1573,Network 15,District,West Side,EAST GARFIELD PARK,2
1577,Network 11,District,South Side,ENGLEWOOD,1
1578,Network 14,District,Far Northwest Side,DUNNING,5
1580,Network 6,District,Greater Milwaukee Avenue,WEST TOWN,13
1583,Network 9,District,Bronzeville / South Lakefront,GRAND BOULEVARD,6
1584,Network 10,District,Greater Midway,CHICAGO LAWN,9
1587,Network 12,District,Greater Stony Island,CALUMET HEIGHTS,7
1588,Network 10,District,Greater Midway,ASHBURN,9
1589,Network 8,District,Greater Stockyards,BRIGHTON PARK,10
1590,Network 1,District,Northwest Side,ALBANY PARK,4
1591,Network 2,District,North Lakefront,UPTOWN,3
1593,Network 16,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1596,Network 11,District,South Side,WASHINGTON HEIGHTS,1
1597,Network 2,District,North Lakefront,UPTOWN,3
1598,Network 13,District,Greater Calumet,RIVERDALE,8
1600,ISP,District,South Side,WASHINGTON HEIGHTS,1
1601,Network 3,District,West Side,AUSTIN,2
1602,Network 13,District,Greater Calumet,ROSELAND,8
1603,Network 11,District,South Side,AUBURN GRESHAM,1
1611,Network 17,District,Bronzeville / South Lakefront,GRAND BOULEVARD,6
1612,Network 17,District,Bronzeville / South Lakefront,GRAND BOULEVARD,6
1613,Network 15,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1614,Network 15,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1615,Network 15,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1616,Options,District,South Side,NEW CITY,1
1619,Network 15,District,West Side,HUMBOLDT PARK,2
1620,ISP,District,Far Northwest Side,PORTAGE PARK,5
1621,Network 16,District,South Side,WEST ENGLEWOOD,1
1622,Network 15,District,Pilsen / Little Village,SOUTH LAWNDALE,11
1623,Network 14,District,North Lakefront,UPTOWN,3
1625,Network 10,District,Greater Midway,CHICAGO LAWN,9
1630,Network 14,District,Northwest Side,LINCOLN SQUARE,4
1632,Network 6,District,Near West Side,NEAR WEST SIDE,12
1694,,,,,0
1696,,,,,0
1698,Network 15,District,West Side,NORTH LAWNDALE,2
1702,ISP,District,West Side,NORTH LAWNDALE,2
1703,ISP,District,Greater Stockyards,MCKINLEY PARK,10
1711,Network 16,District,Greater Stockyards,ARMOUR SQUARE,10
1713,Network 14,District,Far Northwest Side,IRVING PARK,5
1716,Network 15,District,West Side,AUSTIN,2
1718,ISP,District,Greater Milwaukee Avenue,WEST TOWN,13
1719,ISP,District,South Side,WEST ENGLEWOOD,1
1720,,,,,0
1721,Network 1,District,Far Northwest Side,NORWOOD PARK,5
1722,Network 15,District,Northwest Side,NORTH CENTER,4
1727,Network 15,District,Greater Milwaukee Avenue,WEST TOWN,13
1728,Network 12,District,Greater Stony Island,SOUTH SHORE,7
1730,Network 8,District,Greater Midway,GAGE PARK,9
1731,Network 3,District,Far Northwest Side,BELMONT CRAGIN,5
1732,Network 4,District,Greater Lincoln Park,NEAR NORTH SIDE,14
1737,ISP,District,Far Northwest Side,BELMONT CRAGIN,5
